Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
160,Arshdeep Singh / Arshdeep-Singh,in IND,GK,Delhi Dynamos,21,1997,6,6,540,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
161,Balwant Singh / Balwant-Singh,in IND,FW,Kolkata,34,1985,4,0,29,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
162,Bidyananda Singh / Bidyananda-Singh,in IND,MF,Mumbai City,21,1997,3,0,75,0,1,0,0,0,0,0.00,1.20,1.20,0.00,1.20,Matches
163,Bikramjit Singh / Bikramjit-Singh,in IND,MF,Delhi Dynamos,26,1992,4,0,121,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
164,Bipin Singh / Bipin-Singh,in IND,FWMF,Mumbai City,24,1995,8,3,241,0,1,0,0,0,0,0.00,0.37,0.37,0.00,0.37,Matches
165,Germanpreet Singh / Germanpreet-Singh,in IND,MF,Chennaiyin,23,1996,5,2,265,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
166,Gursimrat Singh / Gursimrat-Singh,in IND,DF,Bengaluru,21,1997,1,0,,0,0,0,0,0,0,,,,,,Matches
167,Gurtej Singh / Gurtej-Singh,in IND,DF,Hyderabad FC,29,1990,9,9,810,0,1,0,0,4,0,0.00,0.11,0.11,0.00,0.11,Matches
168,Jackichand Singh / Jackichand-Singh,in IND,FWMF,Goa,27,1992,11,9,697,0,3,0,0,0,0,0.00,0.39,0.39,0.00,0.39,Matches
169,Jeakson Singh / Jeakson-Singh,in IND,MF,Kerala Blasters,18,2001,8,7,667,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
170,Jitendra Singh / Jitendra-Singh,in IND,DF,Jamshedpur,18,2001,4,3,325,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
171,Kamaljit Singh / Kamaljit-Singh,in IND,GK,Hyderabad FC,23,1995,10,10,900,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
172,Konsham Singh / Konsham-Singh,in IND,DF,Goa,22,1996,1,1,90,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
173,Manvir Singh / Manvir-Singh,in IND,FW,Goa,23,1995,11,4,452,2,0,0,0,0,0,0.40,0.00,0.40,0.40,0.40,Matches
174,Milan Singh / Milan-Singh,in IND,MF,NorthEast Utd,27,1992,7,4,382,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
175,Reagan Singh / Reagan-Singh,in IND,DF,NorthEast Utd,28,1991,9,9,810,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
176,Robin Singh / Robin-Singh,in IND,FW,Hyderabad FC,29,1990,9,5,527,1,0,0,0,3,0,0.17,0.00,0.17,0.17,0.17,Matches
177,Sehnaj Singh / Sehnaj-Singh,in IND,MF,Kolkata,26,1993,8,4,385,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
178,Seityasen Singh / Seityasen-Singh,in IND,FWMF,Kerala Blasters,27,1992,5,4,337,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
179,Surchandra Singh / Surchandra-Singh,in IND,MF,Mumbai City,25,1994,1,0,22,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
180,Thoi Singh / Thoi-Singh,in IND,MF,Chennaiyin,28,1990,7,4,351,0,1,0,0,0,0,0.00,0.26,0.26,0.00,0.26,Matches
181,Tondonba Singh / Tondonba-Singh,in IND,DF,Chennaiyin,24,1994,8,8,675,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
182,Udanta Singh / Udanta-Singh,in IND,FW,Bengaluru,23,1996,11,11,918,1,0,0,0,1,0,0.10,0.00,0.10,0.10,0.10,Matches
183,Wangjam Singh / Wangjam-Singh,in IND,MF,Bengaluru,18,2000,3,0,29,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
184,Michael Soosairaj / Michael-Soosairaj,in IND,MF,Kolkata,24,1994,11,9,791,2,0,0,0,1,0,0.23,0.00,0.23,0.23,0.23,Matches
185,Modou Sougou / Modou-Sougou,sn SEN,FWMF,Mumbai City,34,1984,9,8,676,2,2,0,0,3,0,0.27,0.27,0.53,0.27,0.53,Matches
186,Marko Stanković / Marko-Stankovic,at AUT,FWMF,Hyderabad FC,33,1986,8,6,561,1,0,1,1,2,0,0.16,0.00,0.16,0.00,0.00,Matches
187,Edwin Sydney Vanspaul / Edwin-Sydney-Vanspaul,in IND,MF,Chennaiyin,26,1992,9,9,809,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
188,Nim Tamang / Nim-Tamang,in IND,DF,NorthEast Utd,23,1995,2,2,167,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
189,Deepak Tangri / Deepak-Tangri,in IND,DF,Chennaiyin,20,1999,1,0,13,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
190,Marcos Tébar / Marcos-Tebar,es ESP,DFMF,Delhi Dynamos,33,1986,10,10,839,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
191,Anirudh Thapa / Anirudh-Thapa,in IND,MF,Chennaiyin,21,1998,9,8,765,0,1,0,0,2,0,0.00,0.12,0.12,0.00,0.12,Matches
192,Komal Thatal / Komal-Thatal,in IND,MF,Kolkata,18,2000,1,0,6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
193,Tiri / Tiri,es ESP,DF,Jamshedpur,28,1991,10,10,900,1,0,0,0,3,0,0.10,0.00,0.10,0.10,0.10,Matches
194,Redeem Tlang / Redeem-Tlang,in IND,FW,NorthEast Utd,24,1995,9,9,748,2,0,0,0,3,0,0.24,0.00,0.24,0.24,0.24,Matches
195,Rehenesh TP / Rehenesh-TP,in IND,GK,Kerala Blasters,26,1993,8,8,720,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
196,Panagiotis Triadis / Panagiotis-Triadis,gr GRE,FW,NorthEast Utd,26,1992,7,6,535,2,1,0,0,3,0,0.34,0.17,0.50,0.34,0.50,Matches
197,Nerijus Valskis / Nerijus-Valskis,lt LTU,MF,Chennaiyin,31,1987,9,7,630,5,2,0,0,3,0,0.71,0.29,1.00,0.71,1.00,Matches
198,Isaac Vanmalsawma / Isaac-Vanmalsawma,in IND,MF,Jamshedpur,22,1996,7,5,479,1,0,0,0,0,0,0.19,0.00,0.19,0.19,0.19,Matches
199,Wayne Vaz / Wayne-Vaz,in IND,DF,NorthEast Utd,20,1998,4,3,312,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
200,C.K. Vineeth / CK-Vineeth,in IND,MF,Jamshedpur,31,1988,6,4,300,1,0,0,0,0,0,0.30,0.00,0.30,0.30,0.30,Matches
201,David Williams / David-Williams,au AUS,FWMF,Kolkata,31,1988,11,11,949,5,3,0,0,0,0,0.47,0.28,0.76,0.47,0.76,Matches
202,Mohammed Yasir / Mohammed-Yasir,in IND,MF,Hyderabad FC,19,1999,8,6,566,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
203,Gianni Zuiverloon / Gianni-Zuiverloon,nl NED,DF,Kerala Blasters,32,1986,3,3,193,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
